track_id,start,end,closest,min_axis_km,min_penumbra_edge_km,moon_distance_at_closest_km,actual_eclipse_count,actual_eclipse_types
158,2012-10-08T12:00:00Z,2012-10-22T00:00:00Z,2012-10-15T12:30:00Z,18361.8,14926.8,362620.6,0,
159,2012-11-07T06:00:00Z,2012-11-20T12:00:00Z,2012-11-13T22:15:00Z,2383.2,-1043.3,357612.0,1,Total
160,2012-12-06T18:00:00Z,2012-12-20T00:00:00Z,2012-12-13T08:15:00Z,14241.7,10809.8,357215.1,0,
161,2013-01-05T06:00:00Z,2013-01-18T18:00:00Z,2013-01-11T19:15:00Z,27053.3,23602.0,361681.5,0,
162,2013-02-03T18:00:00Z,2013-02-17T18:00:00Z,2013-02-10T07:15:00Z,32378.8,28894.6,370274.2,0,
163,2013-03-05T00:00:00Z,2013-03-19T12:00:00Z,2013-03-11T20:15:00Z,28372.1,24846.3,381249.9,0,
164,2013-04-03T06:00:00Z,2013-04-18T12:00:00Z,2013-04-10T10:00:00Z,15846.9,12281.1,392260.4,0,
165,2013-05-02T12:00:00Z,2013-05-18T00:00:00Z,2013-05-10T00:30:00Z,1738.9,-1855.2,401067.6,1,Annular
166,2013-06-01T00:00:00Z,2013-06-16T12:00:00Z,2013-06-08T15:30:00Z,19207.6,15602.9,405942.7,0,
167,2013-06-30T06:00:00Z,2013-07-16T00:00:00Z,2013-07-08T06:45:00Z,31472.7,27874.4,405943.3,0,
168,2013-07-29T18:00:00Z,2013-08-14T06:00:00Z,2013-08-06T22:00:00Z,34986.4,31407.7,401025.5,0,
169,2013-08-28T12:00:00Z,2013-09-12T12:00:00Z,2013-09-05T12:00:00Z,28908.6,25357.6,392241.9,0,
170,2013-09-27T06:00:00Z,2013-10-11T18:00:00Z,2013-10-05T01:00:00Z,15208.8,11690.7,381334.3,0,
171,2013-10-27T00:00:00Z,2013-11-10T00:00:00Z,2013-11-03T12:45:00Z,2086.8,-1396.3,370509.2,1,Hybrid
172,2013-11-26T00:00:00Z,2013-12-09T12:00:00Z,2013-12-03T00:00:00Z,18140.9,14690.3,361832.1,0,
173,2013-12-25T18:00:00Z,2014-01-08T00:00:00Z,2014-01-01T11:00:00Z,28644.7,25215.6,357095.2,0,
174,2014-01-24T06:00:00Z,2014-02-06T18:00:00Z,2014-01-30T21:45:00Z,30884.8,27458.7,357318.9,0,
175,2014-02-22T18:00:00Z,2014-03-08T12:00:00Z,2014-03-01T08:30:00Z,24351.6,20908.7,362427.3,0,
176,2014-03-24T06:00:00Z,2014-04-07T06:00:00Z,2014-03-30T19:00:00Z,10751.7,7278.0,371237.1,0,
177,2014-04-22T12:00:00Z,2014-05-07T00:00:00Z,2014-04-29T06:00:00Z,6382.6,2872.5,381990.8,1,Annular
178,2014-05-21T18:00:00Z,2014-06-05T18:00:00Z,2014-05-28T18:15:00Z,22494.9,18949.3,392704.9,0,
179,2014-06-20T00:00:00Z,2014-07-05T06:00:00Z,2014-06-27T07:45:00Z,33071.4,29494.9,401304.2,0,
180,2014-07-19T06:00:00Z,2014-08-04T00:00:00Z,2014-07-26T23:00:00Z,34841.5,31241.9,406079.7,0,
181,2014-08-17T18:00:00Z,2014-09-02T06:00:00Z,2014-08-25T14:45:00Z,26917.7,23307.3,405886.9,0,
182,2014-09-16T06:00:00Z,2014-10-01T18:00:00Z,2014-09-24T06:30:00Z,11439.6,7835.9,400710.1,0,
183,2014-10-16T00:00:00Z,2014-10-31T00:00:00Z,2014-10-23T21:45:00Z,6955.3,3378.4,391566.8,1,Partial
184,2014-11-14T18:00:00Z,2014-11-29T06:00:00Z,2014-11-22T12:00:00Z,22668.1,19134.0,380354.9,0,
185,2014-12-14T18:00:00Z,2014-12-28T18:00:00Z,2014-12-22T01:30:00Z,31132.6,27646.5,369384.5,0,
186,2015-01-13T12:00:00Z,2015-01-27T00:00:00Z,2015-01-20T13:30:00Z,30304.9,26858.6,361094.3,0,
187,2015-02-12T06:00:00Z,2015-02-25T12:00:00Z,2015-02-19T00:15:00Z,20974.0,17551.2,357084.7,0,
188,2015-03-13T18:00:00Z,2015-03-27T06:00:00Z,2015-03-20T09:45:00Z,6028.5,2611.6,357921.3,1,Total
189,2015-04-12T06:00:00Z,2015-04-25T18:00:00Z,2015-04-18T18:45:00Z,10575.0,7148.0,363193.2,0,
190,2015-05-11T12:00:00Z,2015-05-25T12:00:00Z,2015-05-18T03:45:00Z,24722.6,21270.9,371812.0,0,
191,2015-06-09T18:00:00Z,2015-06-24T06:00:00Z,2015-06-16T13:45:00Z,32861.2,29371.5,382284.4,0,
192,2015-07-09T00:00:00Z,2015-07-24T00:00:00Z,2015-07-16T01:45:00Z,32563.4,29025.9,392815.9,0,
193,2015-08-07T06:00:00Z,2015-08-22T18:00:00Z,2015-08-14T15:30:00Z,23293.3,19707.3,401308.7,0,
194,2015-09-05T12:00:00Z,2015-09-21T06:00:00Z,2015-09-13T07:00:00Z,7027.1,3404.0,405990.1,1,Partial
195,2015-10-05T00:00:00Z,2015-10-20T18:00:00Z,2015-10-12T23:45:00Z,11723.4,8086.4,405699.0,0,
196,2015-11-03T18:00:00Z,2015-11-19T06:00:00Z,2015-11-11T17:15:00Z,27011.4,23388.6,400244.6,0,
197,2015-12-03T12:00:00Z,2015-12-18T12:00:00Z,2015-12-11T10:30:00Z,33824.7,30239.8,390661.5,0,
198,2016-01-02T06:00:00Z,2016-01-16T18:00:00Z,2016-01-10T02:00:00Z,30269.3,26735.2,379222.4,0,
199,2016-02-01T06:00:00Z,2016-02-15T06:00:00Z,2016-02-08T15:00:00Z,18156.1,14674.4,368584.7,0,
200,2016-03-02T00:00:00Z,2016-03-15T12:00:00Z,2016-03-09T02:00:00Z,1671.5,-1764.2,360823.4,1,Total
201,2016-03-31T18:00:00Z,2016-04-14T00:00:00Z,2016-04-07T11:00:00Z,14537.0,11133.5,357239.4,0,
202,2016-04-30T06:00:00Z,2016-05-13T12:00:00Z,2016-05-06T19:00:00Z,26554.1,23162.4,358191.0,0,
203,2016-05-29T18:00:00Z,2016-06-12T06:00:00Z,2016-06-05T03:00:00Z,31777.3,28372.6,363402.7,0,
204,2016-06-28T00:00:00Z,2016-07-12T00:00:00Z,2016-07-04T11:15:00Z,28974.9,25533.2,371907.8,0,
205,2016-07-27T00:00:00Z,2016-08-10T18:00:00Z,2016-08-02T21:15:00Z,18402.1,14905.5,382371.1,0,
206,2016-08-25T06:00:00Z,2016-09-09T06:00:00Z,2016-09-01T09:00:00Z,2158.3,-1398.9,392884.0,1,Annular
